review,rating,date,bank,source,sentiment_score,sentiment_label,keywords,themes
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,0.6701,positive,"['advanced', 'app', 'safe']",['User Interface & Experience']
Good application,4,2025-11-27,CBE,Google Play,0.4404,positive,"['good', 'application']",['Other']
It is nice app,5,2025-11-26,CBE,Google Play,0.4215,positive,"['nice', 'app']",['User Interface & Experience']
best,5,2025-11-25,CBE,Google Play,0.6369,positive,[],['Other']
good app,5,2025-11-25,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,-0.8746,negative,"['verification', 'key', 'verification', 'key', 'near', 'cbe', 'branch', 'australia', 'nearest', 'furthermost', 'cbe', 'branch', 'frustrating', 'bank', 'account']",['Account Access Issues']
nice app...,5,2025-11-25,CBE,Google Play,0.4215,positive,"['nice', 'app']",['User Interface & Experience']
very good banking service and fast service,5,2025-11-24,CBE,Google Play,0.4927,positive,"['good', 'banking', 'service', 'fast', 'service']",['Customer Support']
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,0.6808,positive,"['thank', 'app', 'time']",['User Interface & Experience']
good,5,2025-11-24,CBE,Google Play,0.4404,positive,['good'],['Other']
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,0.0,neutral,"['money', 'people', 'telebirr', 'wallet']",['Other']
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,0.0,neutral,['birr'],['Other']
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,0.0,neutral,[],['Other']
wow,5,2025-11-23,CBE,Google Play,0.5859,positive,[],['Other']
good,5,2025-11-23,CBE,Google Play,0.4404,positive,['good'],['Other']
nice,5,2025-11-22,CBE,Google Play,0.4215,positive,['nice'],['Other']
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,0.0,neutral,"['reason', 'ye', 'chogara', 'himem']",['Other']
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,0.7395,positive,"['smart', 'app']",['User Interface & Experience']
excellent,5,2025-11-22,CBE,Google Play,0.5719,positive,['excellent'],['Other']
good,5,2025-11-21,CBE,Google Play,0.4404,positive,['good'],['Other']
ዳጊ,5,2025-11-21,CBE,Google Play,0.0,neutral,[],['Other']
absolutely right,5,2025-11-21,CBE,Google Play,0.0,neutral,[],['Other']
good app,5,2025-11-21,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
mid application it's so annoying,3,2025-11-20,CBE,Google Play,-0.541,negative,"['mid', 'application', 'annoying']",['Other']
I used morethan one year,4,2025-11-20,CBE,Google Play,0.0,neutral,"['morethan', 'year']",['Other']
